DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,1,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,1,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,2,2,2
58,0,1,1,1
59,0,2,2,2
60,1,1,1,1
61,0,3,3,3
62,5,2,2,2
63,1,4,4,4
64,4,3,3,3
65,1,4,4,4
66,5,6,6,6
67,3,0,0,0
68,3,8,8,8
69,6,4,4,4
70,3,4,4,4
71,6,6,6,6
72,4,6,6,6
73,7,3,3,3
74,9,10,10,10
75,11,10,10,10
76,28,24,24,24
77,16,24,24,24
78,37,15,15,15
79,60,72,72,72
80,41,47,47,47
81,80,57,57,57
82,91,126,126,126
83,137,116,116,116
84,193,157,157,157
85,265,230,230,230
86,269,266,266,266
87,356,384,384,384
88,485,430,430,430
89,357,447,447,447
90,559,519,519,519
91,845,874,874,874
92,944,806,899.177,970
93,1098,905,1035.541,1132.05
94,1173,1013.975,1192.546,1337.025
95,1197,1117,1357.496,1558
96,1318,1217.9,1525.386,1791
97,1318,1315.825,1694.49,2039.025
98,1945,1391.9,1857.907,2288
99,1879,1457.9,2015.041,2544.05
100,1771,1501.775,2156.322,2795.1
101,2319,1523,2279.414,3039.05
102,1582,1521.925,2385.425,3269.025
103,1498,1503.9,2469.64,3480.125
104,942,1463.95,2531.626,3681.025
105,6677,1410.95,2574.469,3856
106,2573,1361.725,2599.654,4011.125
107,2178,1293.85,2606.596,4140.025
108,1744,1228.9,2597.74,4252.025
109,1239,1160.925,2575.452,4345.15
110,2911,1090.975,2540.996,4418.225
111,1836,1027.95,2496.36,4473.15
112,2689,966.95,2444.386,4510.225
113,1999,907.975,2384.694,4526.05
114,1781,852.9,2319.796,4522.075
115,2600,801.85,2249.468,4494.125
116,1998,751.9,2175.307,4448.375
117,1008,702.9,2097.992,4389.4
118,1374,656.975,2018.072,4317.4
119,2304,612.975,1935.032,4230.425
120,2495,569.975,1852.261,4127.4
121,2082,527.95,1768.088,4017.125
122,1691,490.925,1684.017,3893.15
123,1534,454,1601.138,3764.05
124,1379,416.975,1519.762,3632.125
125,958,381,1441.119,3492.225
126,2442,346,1364.012,3353.3
127,2653,315.975,1288.822,3205.525
128,N/A,286,1218.913,3071.35
129,N/A,259,1150.613,2926.35
130,N/A,233.975,1084.257,2790.35
131,N/A,208,1020.954,2652.375
132,N/A,186,960.953,2522.275
133,N/A,168,906.114,2390.35
134,N/A,151,852.406,2259.375
135,N/A,131,800.324,2137.275
136,N/A,116,752.696,2012.275
137,N/A,101,705.535,1902.15
138,N/A,85,660.748,1787.025
139,N/A,73,618.344,1675.025
140,N/A,65,577.584,1568.1
141,N/A,56,538.451,1465.05
142,N/A,47,501.513,1363.05
143,N/A,40,468.056,1270.125
144,N/A,34,435.802,1183.025
145,N/A,29,405.433,1097.1
146,N/A,23,376.137,1017.075
147,N/A,20,348.884,942.075
148,N/A,15,321.869,872.075
149,N/A,13.975,298.398,810
150,N/A,10,275.237,747.025
151,N/A,9,254.912,692.125
152,N/A,6,234.696,644.025
153,N/A,5,217.286,594
154,N/A,4,200.274,551
155,N/A,2,184.722,508.025
156,N/A,2,169.97,472
157,N/A,1,156.161,436.075
158,N/A,0,144.012,404.05
159,N/A,0,132.712,376.025
160,N/A,0,122.243,350.025
161,N/A,0,112.076,322
162,N/A,0,102.999,296.025
163,N/A,0,94.739,276.025
164,N/A,0,86.973,258
165,N/A,0,79.669,239
166,N/A,0,73.106,218.05
167,N/A,0,67.229,204.05
168,N/A,0,61.759,189.025
169,N/A,0,56.711,174
170,N/A,0,52.044,159.025
171,N/A,0,47.753,147.025
172,N/A,0,43.724,137.025
173,N/A,0,40.04,128.025
174,N/A,0,36.578,118
175,N/A,0,33.343,108.05
176,N/A,0,30.525,99.025
177,N/A,0,27.583,91.025
178,N/A,0,25.262,84.05
179,N/A,0,22.821,77.025
180,N/A,0,20.548,71
181,N/A,0,18.782,65
182,N/A,0,16.849,59
183,N/A,0,15.288,54
184,N/A,0,13.633,48
185,N/A,0,11.936,42
186,N/A,0,10.673,38
187,N/A,0,9.672,35
188,N/A,0,8.722,31.025
189,N/A,0,7.7,27.025
190,N/A,0,6.738,24.025
191,N/A,0,6.041,22
192,N/A,0,5.424,19.025
193,N/A,0,4.907,17
194,N/A,0,4.411,15
195,N/A,0,3.932,14
196,N/A,0,3.578,12
197,N/A,0,3.058,10
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
